epsA	Trial1	Trial2	Trial3
1.25	89.9	95.82	91.93
1.3	99.9	96.27	91.91
1.35	85.98	95.18	95.99
1.4000000000000001	95.32	95.94	95.91
1.4500000000000002	91.81	91.94	92.89
1.5000000000000002	95.94	86.03	91.95
1.5500000000000003	95.95	99.92	90.51
1.6000000000000003	95.92	99.93	94.22
1.6500000000000004	95.93	99.93	83.6
1.7000000000000004	91.9	91.9	91.89
1.7500000000000004	95.94	95.3	98.93
1.8000000000000005	95.93	85.45	89.08
1.8500000000000005	89.94	87.89	95.83
1.9000000000000006	95.93	91.95	91.7
1.9500000000000006	99.73	89.97	91.85
2.000000000000001	93.6	95.92	91.92
2.0500000000000007	88.95	85.38	87.96
2.1000000000000005	91.98	91.7	93.73
2.150000000000001	91.9	88.75	87.9
2.200000000000001	91.94	95.94	95.6
2.250000000000001	91.94	91.94	91.95
2.3000000000000007	95.87	95.57	87.95
2.350000000000001	95.96	89.06	87.94
2.4000000000000012	95.94	91.95	88.02
