epsA	Trial1	Trial2	Trial3
1.05	36.36	38.2	43.34
1.1	56.02	44.85	61.22
1.1500000000000001	60.47	65.57	47.79
1.2000000000000002	58.22	58.31	57.31
1.2500000000000002	60.02	56.89	49.69
1.3000000000000003	60.9	56.08	58.14
1.3500000000000003	60.42	78.39	42.69
1.4000000000000004	71.98	55.39	54.26
1.4500000000000004	66.31	62.4	59.54
1.5000000000000004	55.02	62.1	52.6
1.5500000000000003	59.39	64.32	69.94
1.6000000000000005	56.06	63.09	48.67
1.6500000000000004	62.01	53.04	61.06
1.7000000000000006	52.38	55.82	68.61
1.7500000000000004	62.55	54.35	69.0
1.8000000000000007	58.94	66.93	64.13
1.8500000000000005	58.38	59.59	66.75
1.9000000000000008	52.82	50.51	66.78
1.9500000000000006	61.36	53.72	59.89
2.000000000000001	69.02	61.37	54.72
2.0500000000000007	60.95	59.92	51.16
2.100000000000001	55.29	57.8	57.67
2.150000000000001	62.38	57.97	62.56
2.200000000000001	57.25	55.56	69.47
2.250000000000001	60.14	67.26	69.06
2.300000000000001	59.2	56.45	73.84
