epsA	Trial1	Trial2	Trial3
1.35	95.9	91.98	99.91
1.4000000000000001	91.96	95.95	99.86
1.4500000000000002	99.94	95.97	91.97
1.5000000000000002	79.98	95.98	92.01
1.5500000000000003	91.95	91.49	99.98
1.6000000000000003	95.98	83.98	95.58
1.6500000000000004	95.91	80.16	91.38
1.7000000000000004	87.97	84.01	80.97
1.7500000000000004	87.04	95.97	95.98
1.8000000000000005	91.95	91.9	77.65
1.8500000000000005	96.07	83.97	80.05
1.9000000000000006	99.96	75.96	92.07
1.9500000000000006	79.94	87.98	99.96
2.000000000000001	94.82	93.61	87.97
2.0500000000000007	87.94	99.95	81.89
2.1000000000000005	72.02	95.67	88.06
2.150000000000001	95.98	80.84	92.81
2.200000000000001	92.01	79.99	79.36
2.250000000000001	72.04	95.98	87.98
2.3000000000000007	91.94	84.03	86.49
2.350000000000001	93.09	91.99	87.97
2.4000000000000012	83.89	84.07	99.86
2.450000000000001	89.56	99.96	83.94
