epsA	Trial1	Trial2	Trial3
0.75	0.02	0.1	0.03
0.85	0.02	0.1	0.01
0.95	0.01	0.07	0.07
1.05	0.28	0.1	0.22
1.15	0.95	1.37	2.02
1.25	8.41	11.03	6.39
1.35	22.94	20.93	17.57
1.45	54.46	58.41	76.42
1.55	83.84	88.14	83.9
1.65	95.91	90.83	95.18
1.75	95.97	87.91	91.97
1.85	56.01	64.46	35.99
1.95	23.99	29.66	20.02
2.05	16.11	28.01	12.1
2.15	24.02	12.01	8.2
2.25	12.14	0.0	8.0
2.35	0.04	8.08	0.0
2.45	8.0	0.19	4.02
2.55	0.0	4.1	4.06
2.65	8.01	4.01	4.02
2.75	8.15	0.04	16.19
