epsA	Trial1	Trial2	Trial3
0.75	0.0	0.0	0.0
0.85	0.08	0.0	0.16
0.95	0.98	0.82	0.16
1.05	6.63	6.85	5.88
1.15	33.74	34.74	26.71
1.25	66.76	64.57	69.46
1.35	87.46	87.62	91.35
1.45	96.5	91.94	95.52
1.55	87.94	95.94	95.98
1.65	83.34	68.06	68.07
1.75	44.19	47.98	16.17
1.85	28.12	16.02	24.13
1.95	8.0	8.14	20.1
2.05	4.0	8.23	16.12
