epsA	Trial1	Trial2	Trial3
0.75	0.14	0.22	0.43
0.85	3.25	2.45	1.17
0.95	10.97	10.78	13.42
1.05	40.76	38.19	45.38
1.15	66.13	73.26	79.77
1.25	87.99	87.6	78.48
1.35	91.98	99.94	95.9
1.45	95.94	99.94	95.97
1.55	72.02	67.99	71.95
1.65	43.98	31.98	36.09
1.75	18.22	16.1	8.16
1.85	16.05	8.04	20.07
1.95	4.05	4.02	8.0
2.05	0.0	0.17	0.22
2.15	9.65	8.0	8.11
2.25	0.0	3.99	11.99
2.35	0.0	0.02	4.0
2.45	8.02	8.13	0.0
2.55	15.96	0.2	7.98
