epsA	Trial1	Trial2	Trial3
1.45	87.1	89.58	89.58
1.5	80.52	80.06	80.06
1.55	77.48	84.17	84.17
1.6	77.1	70.75	70.75
1.6500000000000001	72.01	72.1	72.1
1.7000000000000002	68.01	53.84	53.84
1.7500000000000004	87.98	52.89	52.89
1.8000000000000003	71.28	55.97	55.97
1.8500000000000005	56.02	68.72	68.72
1.9000000000000004	68.02	59.99	59.99
1.9500000000000006	71.32	56.14	56.14
2.0000000000000004	63.99	56.04	56.04
2.0500000000000007	44.1	60.5	60.5
2.1000000000000005	69.01	55.94	55.94
2.150000000000001	65.02	68.04	68.04
2.2000000000000006	80.11	64.01	64.01
2.250000000000001	39.98	69.23	69.23
2.3000000000000007	71.99	60.07	60.07
2.350000000000001	39.35	55.97	55.97
2.400000000000001	48.1	76.02	76.02
2.450000000000001	56.7	64.46	64.46
2.500000000000001	28.1	49.09	49.09
