epsA	Trial1	Trial2	Trial3
0.75	0.0	0.0	0.0
0.85	0.0	0.0	0.0
0.95	0.0	0.0	0.0
1.05	0.0	0.0	0.0
1.15	14.57	10.9	7.51
1.25	36.01	43.87	40.23
1.35	63.42	51.98	51.97
1.45	67.99	64.0	64.0
1.55	55.99	64.0	52.03
1.65	44.05	52.05	61.82
1.75	42.59	63.99	40.05
1.85	35.98	29.98	40.18
1.95	20.18	12.14	24.37
2.05	16.03	12.02	12.18
