epsA	Trial1	Trial2	Trial3
0.75	0.06	0.05	0.27
0.85	1.52	1.09	3.06
0.95	17.69	13.88	15.13
1.05	28.03	43.26	39.66
1.15	72.79	69.46	77.1
1.25	95.07	87.56	93.42
1.35	89.9	85.06	91.97
1.45	77.69	76.0	72.08
1.55	55.16	50.85	32.44
1.65	28.05	16.08	20.22
1.75	15.66	8.0	0.1
1.85	15.17	8.1	20.17
1.95	4.01	0.07	4.15
2.05	0.1	0.1	0.08
2.15	4.02	4.12	8.07
2.25	0.0	4.06	12.01
2.35	0.0	0.08	4.0
2.45	4.03	8.01	0.06
2.55	16.0	0.26	7.98
