epsA	Trial1	Trial2	Trial3
0.75	0.0	0.0	0.0
0.85	0.0	0.0	0.0
0.95	0.0	0.0	0.0
1.05	2.08	0.0	0.0
1.15	12.0	18.08	11.92
1.25	43.84	35.76	43.92
1.35	68.0	67.92	56.0
1.45	64.0	52.08	72.0
1.55	62.16	60.0	64.0
1.65	60.0	48.0	40.0
1.75	44.0	34.8	32.0
1.85	12.08	32.08	28.24
1.95	0.0	16.08	28.0
2.05	16.08	16.16	8.16
