epsA	Trial1	Trial2	Trial3
0.75	0.01	0.0	0.0
0.85	0.0	0.0	0.0
0.95	0.35	0.19	0.26
1.05	2.91	2.7	1.88
1.15	11.99	13.06	20.46
1.25	39.78	42.22	49.34
1.35	74.11	68.06	66.49
1.45	87.94	95.18	91.86
1.55	99.88	95.94	93.82
1.65	76.06	91.94	83.88
1.75	56.02	54.99	55.99
1.85	12.06	20.06	28.03
1.95	16.05	8.0	16.0
2.05	12.0	20.0	8.03
