epsA	Trial1	Trial2	Trial3
0.75	0.0	0.0	0.0
0.85	0.0	4.0	0.0
0.95	8.0	20.0	8.0
1.05	40.0	48.0	40.0
1.15	84.0	76.0	68.0
1.25	92.0	92.0	84.0
1.35	100.0	100.0	100.0
1.45	100.0	100.0	100.0
1.55	100.0	100.0	100.0
1.65	76.0	100.0	88.0
1.75	48.0	76.0	40.0
1.85	24.0	20.0	20.0
1.95	16.0	20.0	20.0
2.05	8.0	8.0	0.0
